isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,description_length,book_age,tag_clean
9780002318136,000231813X,They Do it with Mirrors,,Agatha Christie,"Detective and mystery stories, English",https://books.google.com/books/content?id=FtkKSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Miss Marple senses danger when she visits a friend living in a Victorian mansion which doubles as a rehabilitiation centre for delinquents. Her fears are confirmed when a youth fires a revolver at the administrator, Lewis Serrocold. Neither is injured. But a mysterious visitor, Mr Gilbrandsen, is less fortunate - shot dead simultaneously in another part of the building. Pure coincidence? Miss Marple thinks not, and vows to discover the real reason for Mr Gilbrandsen's visit.",2001,4.5,223.0,,76,25,"detective and mystery stories, english"
9780006172765,0006172768,The Hunt for Red October,,Tom Clancy,Fiction,https://books.google.com/books/content?id=BL4HQraoaJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The runaway international No.1 bestseller that launched Tom Clancy's spectacular career - became a blockbuster film - and introduced Jack Ryan. Silently, beneath the chill Atlantic waters, Russia's ultra-secret missile submarine, the Red October, is heading west. The Americans want her. The Russians want her back. With all-out war only seconds away, the superpowers race across the ocean on the most desperate mission of a lifetime. The most incredible chase in history is on... The Hunt for Red October... the classic story of a spellbinding battle of nerves, above and below the waves, unrivalled in its authenticity and breath-stopping suspense.",1993,5.0,484.0,1.0,100,33,fiction
9780006476474,0006476473,The Complete Stories,,Isaac Asimov,Fiction,https://books.google.com/books/content?id=BVnaF63RVs0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"First published fifteen years ago, shortly after his death, inside this collection are some of the finest short stories of science fiction writing from one of the genre's greatest writers, Isaac Asimov. Isaac Asimov was the Grand Master of the Science Fiction Writers of America, the founder of robot ethics, and one of the world's most prolific authors of fiction and non-fiction. The Good Doctor's short fiction has been enjoyed by millions for more than half a century. Now the definitive Asimov collection is underway with Volume One of The Complete Stories. Many of these stories are classics of the genre, and the last, 'The Last Question', the absolute personal favourite of Asimov himself. Always entertaining and thought provoking, these stories display Asimov's mastery of the short story form. He remains supreme as the thinking person's science fiction writer.",1994,4.5,436.0,,139,32,fiction
9780006480419,0006480411,Neuromancer,,William Gibson,Artificial intelligence,https://books.google.com/books/content?id=QMBLHMv-k6oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Case, a nerve-damaged data thief, is recruited by a new employer for a last-chance run against a powerful artificial intelligence.",1995,3.0,298.0,1.0,20,31,artificial intelligence
9780006481799,0006481795,Silverwing,,Kenneth Oppel,Juvenile Fiction,https://books.google.com/books/content?id=A4u3xOvbEJAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Shade is a young silverwing bat, the runt of his colony. But he's determined to prove himself on the long, dangerous winter migration to Hibernaculum, millions of wingbeats to the south. During a fierce storm, he loses the others and soon faces the most incredible journey of his young life. Desperately searching for a way to rejoin his flock, Shade meets a remarkable cast of characters: Marina, a Brightwing bat with a strange metal band on her leg; Zephyr, a mystical albino bat with an unusual gift; and Goth, a gigantic carnivorous vampire bat. But which ones are friends and which ones are enemies? In this epic story of adventure and suspense, Shade is going to need all the help he can find -- if he hopes to ever see his family again.",1998,4.5,308.0,,133,28,juvenile fiction
9780006493143,0006493149,Black Market,,James Patterson,International finance,https://books.google.com/books/content?id=_FTLAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A thriller in which a Federal agent and a Wall Street lawyer must race against time to thwart the plan of a secret militia group to firebomb Wall Street and wipe out the financial heart of America. From the author of JACK AND JILL, HIDE AND SEEK, KISS THE GIRLS and ALONG CAME A SPIDER.",1998,4.5,399.0,,55,28,international finance
9780006498513,0006498515,Legal Tender,,Lisa Scottoline,Detective and mystery stories,https://books.google.com/books/content?id=Eq1uPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"of police brutality until he confesses that his group have been plotting the murder of the company's president. And as if she hasn't had enough surprises for one day, Bennie's former lover and current law partner, Mark Biscardi, breaks the news that he wants to oust her from the firm in favour of an ambitious and beautiful associate.",1998,4.5,291.0,,58,28,detective and mystery stories
9780006498865,0006498868,The Mad Ship,,Robin Hobb,Fiction,https://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Fantasy master Robin Hobb delivers the stunning second volume of her Liveship Traders trilogy, returning to the timeless city of Bingtown, where pirates now plague the coasts and the dreaded slave trade flourishes. Althea Vestrit doesnt have time to be afraid, for her familys newly awakened Liveship, Vivacia, has been seized by the ruthless pirate Kennit. So Althea hatches a bold plan. But to carry it out, she must recruit a Liveship that has already slain two crews -- and is said to be insane.",2000,4.5,916.0,,85,26,fiction
9780006499343,0006499341,Alistair MacLean's Unaco,Prime Target,Hugh Miller;Alistair MacLean,Fiction,https://books.google.com/books/content?id=lof_6rYb2psC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""An American government employee is murdered in cold blood on a London Street, and a list of names, all German, all male, is found in her hotel room. It appears that two of the men have also met with violent deaths. Carver and Graham must crack the lethal conspiracy that threatens world security.""--Publisher.",1997,4.5,26.0,,53,29,fiction
9780006499725,0006499724,Kiss the Girls,,James Patterson,"Cross, Alex (Fictitious character)",https://books.google.com/books/content?id=l9okJAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Homicide detective, Alex Cross, is involved in a case concerning not just one killer, but two. One collects intelligent women on college campuses on the east coast of the USA, while the other terrorizes Los Angeles with a series of murders. Cross realizes with horror that the killers are competing.",1995,4.5,451.0,,50,31,"cross, alex (fictitious character)"
9780006753063,000675306X,Enid Blyton's the Sea of Adventure,,Nigel Robinson;Enid Blyton,Adventure,https://via.placeholder.com/128x192.png?text=No+Cover,"A mysterious trip to the desolate Northern Isles soon turns into a terrifying adventure when Bill is kidnapped! Marooned far from the mainland on a deserted coast, Philip, Dinah, Lucy-Ann and Jack find themselves playing a dangerous game with an unknown enemy. Will they escape with Bill, and their lives?",1996,4.5,141.0,,50,30,adventure
9780006755173,0006755178,Witch Week,,Diana Wynne Jones,Juvenile Fiction,https://books.google.com/books/content?id=tG0vespSDg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The worlds of Chrestmomanci have limitless possibilities. How, then, does a nine-lived enchanter cope with a place where witchcraft is utterly forbidden, yet where magic still seems to break out like measles -- all over the place The note said: SOMEONE IN THIS CLASS IS A WITCH. It was written in ordinary blue ballpoint and had appeared between two of the homework books Mr Crossley was marking. Anyone could have written it, but the most awful thing was, the note might be true -- for this was a school for witch-orphans. The last thing Miss Cadwallader, the Headteacher, would want was a visit from the Divisional Inquisitor. Mr Crossley wondered what to do about it...",2000,4.5,276.0,,115,26,juvenile fiction
9780007104895,0007104898,Final Appeal,,Lisa Scottoline,Legal thriller,https://books.google.com/books/content?id=JnyUPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Hard-hitting and unforgettable, Lisa Scottoline's Edgar Award winning second novel Final Appeal shines with her characteristic wit and gift for inventive plot.",1995,4.5,352.0,,22,31,legal thriller
9780007119622,0007119623,The Martian Chronicles,,Ray Bradbury,Interplanetary voyages,https://books.google.com/books/content?id=j2WHPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The strange and wonderful tale of man's experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.",2001,4.5,235.0,,24,25,interplanetary voyages
9780007123810,0007123817,The Lord of the Rings,,John Ronald Reuel Tolkien,"Baggins, Frodo (Fictitious character)",https://books.google.com/books/content?id=_WBuPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Contains all three volumes of Tolkien's fantasy classic recently voted all time favourite book by the customers of A & R Australia.,2001,4.5,1137.0,,22,25,"baggins, frodo (fictitious character)"
9780007129492,0007129491,Good Wood,Basic Woodworking,Albert Jackson;David Day,Woodwork,https://books.google.com/books/content?id=whjqAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This guide is for those discovering the pleasures of working with wood for the first time. Whether as a hobby, at evening classes or in the schoolroom, this book provides essential knowledge on tools, wood selection, techniques and good practice.",2001,4.5,128.0,,40,25,woodwork
9780007136834,0007136838,And Then There Were None,,Agatha Christie,Fiction,https://books.google.com/books/content?id=CVBObgUR2zcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Ten... Ten strangers are lured to an island mansion off the Devon coast. Over dinner, an unseen voice accuses each of them of harbouring a guilty secret, and by the end of the evening one of their number is dead. Nine... Their host fails to appear, and as the weather changes the island becomes a sinister and claustrophobic place to be stranded. Eight... Haunted by an ancient nursery rhyme, they all realise that the murderer is not only among them but is preparing to strike again. Seven... The tension escalates as the survivors try to keep one step ahead of their ingenious stalker, who seems bent on reaching the final line. And Then There Were None.",2003,3.5,32.0,2.0,116,23,fiction
9780007149520,0007149522,The Age of Wonder,How the Romantic Generation Discovered the Beauty and Terror of Science,Richard Holmes,Biography & Autobiography,https://books.google.com/books/content?id=_iT94Ii3AWwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Shortlisted for the Samuel Johnson Prize and winner of the Royal Society Prize for Science Books, Richard Holmes's dazzling portrait of the age of great scientific discovery is a groundbreaking achievement. 'The Age of Wonder' is Richard Holmes's first major work of biography in over a decade. It has been inspired by the scientific ferment that swept through Britain at the end of the eighteenth century, 'The Age of Wonder' and which Holmes now radically redefines as 'the revolution of Romantic Science'. The book opens with Joseph Banks, botanist on Captain Cook's first Endeavour voyage, stepping onto a Tahitian beach in 1769, hoping to discover Paradise. Many other voyages of discovery swiftly follow, while Banks, now President of the Royal Society in London, becomes our narrative guide to what truly emerges as an Age of Wonder. Banks introduces us to the two scientific figures that dominate the book: astronomer William Herschel and chemist Humphry Davy. Herschel's tireless dedication to the stars, assisted (and perhaps rivalled) by his comet-finding sister Caroline, changed forever the public conception of the solar system, the Milky Way galaxy and the meaning of the universe itself. Davy first shocked the scientific community with his near-suicidal gas experiments in Bristol, then went on to save thousands of lives with his Safety Lamp and established British chemistry as the leading professional science in Europe. But at the cost, perhaps, of his own heart. Holmes proposes a radical vision of science before Darwin, exploring the earliest ideas of deep time and deep space, the creative rivalry with the French scientific establishment, and the startling impact of discovery on great writers and poets such as Mary Shelley, Coleridge, Byron and Keats. With his trademark sense of the human drama, he shows how great ideas and experiments are born out of lonely passion, how scientific discoveries (and errors) are made, how intense relationships are forged and broken by research, and how religious faith and scientific truth collide. The result is breathtaking in its originality, its story-telling energy, and not least, in its intellectual significance.",2008,4.5,111.0,,343,18,biography & autobiography
9780007154852,0007154852,While the Light Lasts,,Agatha Christie,Fiction,https://books.google.com/books/content?id=YtWAXoi1TG4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Some of Agatha Christie's earliest stories - including her very first - which show the Queen of Crime in the making... A macabre recurring dream ... revenge against a blackmailer ... jealousy, infidelity and a tortured conscience ... a stolen gemstone ... the haunting attraction of an ancient relic ... a race against time ... a tragic love triangle ... a body in a box ... an unexpected visitor from beyond the grave... Nine quintessential examples of Agatha Christie's brilliance are contained in this new collection of early short stories - including the very first one she ever wrote - and provide a unique glimpse of the Queen of Crime in the making.",2003,4.5,18.0,,113,23,fiction
9780007155002,000715500X,Mind Maps at Work,How to be the Best at Your Job and Still Have Time to Play,Tony Buzan,Business & Economics,https://books.google.com/books/content?id=x5Ei6f51vR4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Tony Buzan has used his patented Mind Maps system to teach millions of people around the world how to unlock the infinite creativity of the human mind. Now he presents a practical guide to achieving workplace success and satisfaction.,2004,4.5,268.0,,39,22,business & economics
9780007157150,0007157150,Out of the Silent Planet,,Clive Staples Lewis,Fiction,https://books.google.com/books/content?id=sj9W_BAmOhgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Dr Ransom, a Cambridge academic, is abducted and taken on a spaceship to Mars. His captors are plotting to plunder the planet's treasures and plan to offer Ransom as a sacrifice to the creatures who live there. Ransom discovers he has come from the Earth. This is the first novel in CS Lewis' classic sci-fi trilogy.",2005,4.5,42.0,,56,21,fiction
9780007157174,0007157177,That Hideous Strength,,Clive Staples Lewis,Fiction,https://books.google.com/books/content?id=emnVmM2q6F4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Mark is enticed to join a group called N.I.C.E. which aims to control all human life. His wife is having bizarre prophetic dreams about a decapitated scientist. As Mark is drawn into the sinister group he finds the truth of his wife's dreams. The book ends in a battle with the powers of Hell.,2005,4.5,12.0,,54,21,fiction
9780007157600,0007157606,The Elder Gods,,David Eddings;Leigh Eddings,Fiction,https://books.google.com/books/content?id=3VGdnM3IjtcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"New series, new world, and a glorious story destined to reach the biggest audience yet. They are called the Dreamers. They look like sleeping children. They are, in fact, Gods. There are eight elder Gods, four awake, four asleep, by turns. When they sleep, they sleep for eons. The only time the Gods are vulnerable is when the sleepers awake. Knowing this, the Ruler of the Wasteland, ambitious to become a God by destroying Gods, watches and waits, marshalling troops for war. So it is that the coming of the Dreamers passes unnoticed in the Wasteland. But the world is soon out of kilter, it is being dreamed, and the awakening of gods is no simple transition. The sleeping Gods are stirring. When they wake the battle will begin. There will be trickery and deception. Tribes of humans, creatures of the deep, the sea itself and the earth, the weather and the divinities, all will play their part in the epic struggle against the Ruler of the Wasteland. In their own exquisitely effortless style, David and Leigh Eddings weave a web around the reader of magic, mystery and humour. The Elder Gods is the first in a new and eagerly anticipated series of four books from the bestselling authors David and Leigh Eddings. It is a magical, action-packed, totally engaging and characterful novel on the grandest scale.",2005,4.5,37.0,,227,21,fiction
9780007157860,000715786X,Master and Commander,,Patrick O'Brian,Fiction,https://books.google.com/books/content?id=CmmqYm2JkJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Patrick O'Brian's Aubrey-Maturin tales are widely acknowledged to be the greatest series of historical novels ever written. All eighteen books are being re-issued in hardback by HarperCollins with stunning new jackets to coincide with a new film based on the adventures and to introduce these modern classics to a new generation. Master and Commander is the first of Patrick O'Brian's now famous Aubrey/Maturin novels, regarded by many as the greatest series of historical novels ever written. It establishes the friendship between Captain Jack Aubrey RN and Stephen Maturin, who becomes his secretive ship's surgeon and an intelligence agent. It contains all the action and excitement which could possibly be hoped for in a historical novel, but it also displays the qualities which have put O'Brian far ahead of any of his competitors: his depiction of the detail of life aboard a Nelsonic man-of-war, of weapons, food, conversation and ambience, of the landscape and of the sea. O'Brian's portrayal of each of these is faultless and the sense of period throughout is acute. His power of characterisation is above all masterly. This brilliant historical novel marked the début of a writer who grew into one of our greatest novelists ever, the author of what Alan Judd, writing in the Sunday Times, has described as 'the most significant extended story since Anthony Powell's A Dance to the Music of Time'.",2003,4.5,418.0,,228,23,fiction
9780007159208,000715920X,Lord of the Shadows,,Darren Shan,Juvenile Nonfiction,https://books.google.com/books/content?id=Q3fusSYGLuwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,One boy's terrifying journey from human to half-vampire to Vampire Prince. Where he will rule the night and destroy the world.,2004,4.5,20.0,,21,22,juvenile nonfiction
9780007167128,0007167121,Halliwell's Film & Video Guide 2004,,Leslie Halliwell,Performing Arts,https://books.google.com/books/content?id=mF1oz1lFa6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This guide to the film industry from the 1900s to the present day has now been updated with John Walker's critiques of the films that have been turning heads in 2002/3. It delivers all the cast and crew credits, fun trivia and behind-the-scenes information you need on thousands of movies (over 23,000) including hundreds of new ones. This perennial guide also includes plot synopses and critical evaluations, as well as video cassette, laser disc and DVD availability. Reader friendly icons denote films suitable for family viewing, Academy Award Winners and nominees, soundtrack availability and video format compatibility. The guide also contains lists of four-star and three-star films by title and year.",2003,4.5,1028.0,,111,23,performing arts
9780007170760,0007170769,Wild Swans,Three Daughters of China,Jung Chang,China,https://via.placeholder.com/128x192.png?text=No+Cover,"A New Edition Of One Of The Best-Selling And Best-Loved Books Of Recent Years, With A New Introduction By The Author. The Publication Of Wild Swans In 1991 Was A Worldwide Phenomenon. Not Only Did It Become The Best-Selling Non-Fiction Book In British Publishing History, With Sales Of Well Over Two Million, It Was Received With Unanimous Critical Acclaim, And Was Named The Winner Of The 1992 Ncr Book Award And The 1993 British Book Of The Year Award. Few Books Have Ever Had Such An Impact On Their Readers. Through The Story Of Three Generations Of Women Grandmother, Mother And Daughter Wild Swans Tells Nothing Less Than The Whole Tumultuous History Of China S Tragic Twentieth Century, From Sword-Bearing Warlords To Chairman Mao, From The Manchu Empire To The Cultural Revolution. At Times Terrifying, At Times Astonishing, Always Deeply Moving, Wild Swans Is A Book In A Million, A True Story With All The Passion And Grandeur Of A Great Novel. For This New Edition, Jung Chang Has Written A New Introduction, Bringing Her Own Story Up To Date, And Describing The Effect Wild Swans Success Has Had On Her Life.",2003,4.5,666.0,,192,23,china
9780007173730,0007173733,The Perfect Mile,"Three Athletes, One Goal, and Less Than Four Minutes to Achieve it",Neal Bascomb,Oxford (England),https://books.google.com/books/content?id=Zgw4AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Spanning three continents and defying the odds, three runners' collective quest to run the four-minute mile captivates the world and steals headlines from the Korean War, the atomic race, and such legendary figures as Edmund Hillary, Willie Mays, Native Dancer, and Ben Hogan.",2004,4.5,375.0,,43,22,oxford (england)
9780007179473,0007179472,Sociology Themes and Perspectives AS and A-Level Student Handbook,,Martin Holborn;Peter Langley,Education,https://books.google.com/books/content?id=by9DAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Suitable as a companion throughout any AS or A2 course, this bite-sized version of the main Haralambos and Holborn textbook should help students access, understand and revise for their exams.",2004,4.5,298.0,,30,22,education
9780007193820,0007193823,Big Bang,The Origin of the Universe,Simon Singh,Big bang theory,https://via.placeholder.com/128x192.png?text=No+Cover,The best selling author of FERMAT'S LAST THEOREM and THE CODE BOOK tells the story of the brilliant minds that deciphered the mysteries of the Big Bang.,2004,4.5,532.0,5.0,27,22,big bang theory
9780007213818,0007213816,Heroes,The Greatest Generation and the Second World War,James Holland,Biography & Autobiography,https://books.google.com/books/content?id=964Gr7Gm7FYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"'Heroes' is the story of an extraordinary generation of young men, mostly British, who came of age in the Second World War. These young men - and women - found themselves facing life-threatening danger and the kind of responsibility few would be prepared to shoulder today. Whether fighting in the jungles of Burma or on the D-Day beaches, as submariners, pilots, spies or prisoners of war, young soldiers in WWII displayed astonishing courage and resilience, united by honour and bound by the fellowship of their comrades. Those who made it home are now a passing generation, and for many this is the last chance for them to tell their stories - men like football legend Tom Finney, who saw action in southern Italy; or James Bond set-designer Ken Adam, a German Jew who flew as a fighter pilot for the RAF; or identical twins Tom and Dee Bowles, who landed together on Easy Red beach on D-Day. Many of these young men never returned home and those who did faced insurmountable challenges assimiliating back into civilian life. 'Heroes' is a moving and uplifting tribute to an remarkable generation.",2007,4.5,41.0,,188,19,biography & autobiography
9780007218011,000721801X,The Last Kingdom,,Bernard Cornwell,Fiction,https://books.google.com/books/content?id=wuC-TSRyAe0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The first book in the epic and bestselling series that has gripped millions. A hero will be forged from this broken land. As seen on Netflix and BBC around the world. In a land torn apart by conflict, an orphan boy has come of age. Raised by the Vikings, deadly enemies of his own Saxon people, Uhtred is a fierce and skilled warrior who kneels to no-one. Alfred - Saxon, king, man of god - fights to hold the throne of the only land still resisting the pagan northerners. Uhtred and Alfred's fates are tangled, soaked in blood and blackened by the flames of war. Together they will change history.",2005,4.5,29.0,,110,21,fiction
9780007231386,0007231385,Slawter,,Darren Shan,Juvenile Nonfiction,https://books.google.com/books/content?id=zRCISxY0oDwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"While on a horror movie set with his Uncle Dervish, Grubbs Grady realizes that his battle with the evil demon master Lord Loss may be about to resume.",2007,4.5,27.0,,28,19,juvenile nonfiction
9780007260454,0007260458,Dark Calling,,Darren Shan,Fiction,https://books.google.com/books/content?id=u78glV8RPCwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Events take an unexpected turn in this ninth awesome foray into the worlds of the Demonata... Suitable for ages 10+ ""I know it's ridiculous. Lights can't whisper. But I swear I heard a voice calling to me. It sounded like static to begin with, but then it came into focus, a single word repeated over and over. Softly, slyly, seductively, insistently. Come..."" the Disciples are being manipulated by beings older than time. Only Kernel Fleck knows that something is wrong. But he is in the grip of a creature who cares nothing for the fate of humanity. Voices are calling to him from the darkness and he's powerless to resist. Kernel has already been to hell and back. Now he's about to go further... Ages 10+",2009,4.5,16.0,,126,17,fiction
9780007267545,0007267541,Odd Hours,,Dean Koontz,Fiction,https://books.google.com/books/content?id=4FCOffEyerwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The latest Odd Thomas thriller from the master storyteller. A mystery in Magic Beach, California has lured Odd to the small town by the ocean -- but is it the call of the deep or the cry of the desperate?",2008,4.5,368.0,,40,18,fiction
