isbn13,title,authors,description,categories,tag_clean,thumbnail,average_rating,ratings_count,published_year,num_pages,description_length,book_age,joy,sadness,anger,fear,surprise,disgust,neutral,top_emotions
9780006482079,Warhost of Vastmark,Janny Wurts,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",Fiction,fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.03,2966.0,1995,522.0,136,29,0.0018,0.2823,0.2076,0.2416,0.0854,0.0709,0.1105,"sadness,fear"
9780006483014,The Once and Future King,Terence Hanbury White,"An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",Arthurian romances,arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,2805.0,1996,823.0,46,28,0.0298,0.0101,0.01,0.0204,0.0314,0.1058,0.7924,"neutral,disgust"
9780006483892,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,"Available in the U.S. for the first time, this is the second volume in the exceptional Legends of the Riftwar series from ""New York Times""-bestselling authors Feist and Rosenberg.",Adventure stories,adventure stories,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.7,5083.0,2003,337.0,29,21,0.2802,0.0041,0.0049,0.0057,0.0793,0.0041,0.6217,"neutral,joy"
9780006483908,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,"Jimmy the Hand, boy thief of Krondor, lived in the shadows of the city. Though gifted beyond his peers, Jimmy is merely a pickpocket with potential--until he aids Prince Arutha in the rescue of Princess Anita from Duke Guy du Bas-Tyra, and runs afoul of ""Black Guy's"" secret police. Facing a choice between disappearing on his own or in a weighted barrel at the bottom of Krondor's harbor, Jimmy chooses the former. Forced to flee the only home he's ever known, Jimmy finds himself among the unsuspecting rural villagers of Land's End, where he hopes to prosper with his talents for con and thievery. But Land's End is home to many who tread the crooked path--and to a dark, dangerous presence even the local smugglers don't recognize. And suddenly Jimmy's youthful bravado and courage are leading him into the maw of chaos . . . and, quite possibly, to his doom.",Fantasy fiction,fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.95,5579.0,2003,368.0,151,21,0.0027,0.0472,0.0232,0.8744,0.0054,0.0137,0.0333,"fear,sadness"
9780006486145,Well of Darkness,Margaret Weis;Tracy Hickman,"Gareth is just a frightened young lad when he is drafted in to be the whipping-boy for the unruly Prince Dagnarus. Yet as they grow to be men, an unshakable bond is formed. And it is their destiny for them to become the two most powerful - and feared - men in the kingdom. But when Dagnarus decides to become a knight himself, he begins a chain of evil events that threaten to destroy the entire kingdom. Only by uniting the Sovereign Stone can peace be restored, and it is up to Dagnarus' brother Helmos to try to achieve this impossible task, using his father's soldiers against his brother's army. All the while, Gareth is gaining mastery over the sinister Void magic, and he is devoted to helping his childhood companion.. This gripping story of magical power and corruption takes the unique viewpoint of focusing on the evil characters, as we follow them from boys to men. Filled with action, suspense and wonderfully imaginative characters, Water From the Well of Darkness is set to elevate the careers of bestselling authors Weis & Hickman to spectacular new heights.",Unknown,unknown,http://books.google.com/books/content?id=XrwaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.66,68.0,2001,599.0,187,23,0.0027,0.0022,0.0046,0.9753,0.0015,0.0016,0.0121,"fear,neutral"
9780006490456,Witness for the Prosecution & Selected Plays,Agatha Christie,"Newly-Jacketed Edition Designed To Celebrate The 50Th Anniversary Of Christie S Faultlessly Plotted Witness For The Prosecution And Other Outstanding Plays. The Perfect Complement To The Latest Edition Of The Mousetrap And Selected Plays (50Th Aniversary Edition). Headlining This Book Is Witness For The Prosecution Christie S Highly Successful Stage Play Which Won The New York Drama Critics Circle Award For Best Foreign Play. A Stunning Courtroom Drama, It Tells The Story Of A Scheming Wife Testifying Against Her Husband In A Shocking Murder Trial. The Wild Beauty Of A Seaside House Perched High On The Devonshire River Tern Provides A Stunning Back-Drop In Towards Zero As A Psychopathic Murderer Homes In On The Unsuspecting Victims. Passion, Murder And Love Are The Deadly Ingredients In Verdict, Making It One Of Christie S More Unusual Thrillers And Prompting Her To Label It The Best Play I Have Written With The Exception Of Witness For The Prosecution . Go Back For Murder Tells The Story Of The Young And Feisty Carla Who, Orphaned At The Tender Age Of Five, Discovers Her Mother Was Imprisioned For Murdering Her Father And Determines To Prove Her Innocence.",English drama,english drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05,3908.0,1995,352.0,192,29,0.1203,0.4283,0.0068,0.2659,0.0783,0.0031,0.0973,"sadness,fear"
9780006496434,The Little House,Philippa Gregory,"It was easy for Elizabeth. She married the man she loved. It was harder for Ruth. She married Elizabeth's son and then found that, somehow, she could never quite measure up. This thriller examines what women want and what they fear, as Ruth confronts the shifting borders of her own sanity.",Country life,country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.66,1832.0,1998,368.0,51,26,0.0035,0.005,0.0046,0.9623,0.0016,0.0042,0.0189,"fear,neutral"
9780006496878,Mystical Paths,Susan Howatch,1968 finds Nicholas Darrow wrestling with personal problems. How can he marry Rosalind when he is unable to avoid promiscuity? How can he become a priest when he finds it so difficult to live as one? And can he break his dangerous dependence on his father?,English fiction,english fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,1023.0,1996,576.0,46,28,0.0016,0.0323,0.053,0.8137,0.005,0.0265,0.068,"fear,neutral"
9780006496892,Glittering Images,Susan Howatch,"It is 1937, and Charles Ashworth, a Canon to the Archbishop of Canterbury, is sent to untangle a web of self-delusion and corruption at the episcopal palace of the charismatic Bishop of Starbridge.",English fiction,english fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07,2045.0,1996,512.0,33,28,0.0018,0.1409,0.0952,0.0188,0.0087,0.5544,0.1801,"disgust,neutral"
9780006496922,Glamorous Powers,Susan Howatch,"Reissue of the author's most famous and well-loved work, the Starbridge series, six self-contained yet interconnected novels that explore the history of the Church of England through the 20th century.",Clergy,clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,1441.0,1996,512.0,30,28,0.7373,0.012,0.0041,0.0021,0.0389,0.0027,0.2028,"joy,neutral"
9780006498865,The Mad Ship,Robin Hobb,"Fantasy master Robin Hobb delivers the stunning second volume of her Liveship Traders trilogy, returning to the timeless city of Bingtown, where pirates now plague the coasts and the dreaded slave trade flourishes. Althea Vestrit doesnt have time to be afraid, for her familys newly awakened Liveship, Vivacia, has been seized by the ruthless pirate Kennit. So Althea hatches a bold plan. But to carry it out, she must recruit a Liveship that has already slain two crews -- and is said to be insane.",Fantasy fiction,fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.24,36101.0,2000,906.0,85,24,0.0049,0.008,0.022,0.8574,0.0049,0.0045,0.0983,"fear,neutral"
9780006499169,Post Captain,Patrick O'Brian,"This tale begins with Jack Aubrey arriving home from his exploits in the Mediterranean to find England at peace following the Treaty of Amiens. He and his friend Stephen Maturin, surgeon and secret agent, begin to live the lives of country gentlemen, hunting, entertaining and enjoying more amorous adventures. Their comfortable existence, however, is cut short when Jack is overnight reduced to a pauper with enough debts to keep him in prison for life. He flees to the continent to seek refuge: instead he finds himself a hunted fugitive as Napoleon has ordered the internment of all Englishmen in France. Aubrey's adventures in escaping from France and the debtors' prison will grip the reader as fast as his unequalled actions at sea.","Aubrey, Jack (Fictitious character)","aubrey, jack (fictitious character)",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.29,7815.0,1996,474.0,122,28,0.0358,0.1797,0.1698,0.0735,0.004,0.0941,0.4429,"neutral,sadness"
9780006499268,The Reverse of the Medal,Patrick O'Brian,"In this book, Jack Aubrey returns from his duties protecting whalers off the South American coast and is persuaded by a casual acquaintance to make investments in the City on the strength of supposedly certain information. From there he is led into the half-worlds of the London criminal underground and of government espionage - the province of his friend, Stephen Maturin.",Adventure stories,adventure stories,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.41,177.0,1997,261.0,61,27,0.0734,0.0185,0.0469,0.1155,0.0174,0.2059,0.5225,"neutral,disgust"
9780006499626,Miss Marple,Agatha Christie,"Miss Marple featured in 20 short stories, published in a number of different collections in Britain and America. Presented here in their order of publication, Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes.","Detective and mystery stories, English","detective and mystery stories, english",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,6235.0,1997,359.0,41,27,0.0082,0.0118,0.0108,0.0042,0.0168,0.0116,0.9366,"neutral,surprise"
9780006511489,The Years of Rice and Salt,Kim Stanley Robinson,"Hailed by ""The New York Times Book Review"" as ""eye-opening, "" this alternative history of the last 600 years begins as the Black Death kills nearly everyone in Europe, and China, India, and the nations of Islam now control the world.",Black Death,black death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.73,194.0,2003,772.0,41,21,0.0124,0.0172,0.0247,0.3793,0.0836,0.0394,0.4434,"neutral,fear"
9780006512677,Spares,Michael Marshall Smith,"Spares - human clones, the ultimate health insurance. An eye for an eye - but some people are doing all the taking. The story of Jack Randall: burnt-out, dropped out, and way overdrawn at the luck bank. But as caretaker on a Spares Farm, he still has a choice, and it might make a difference.",Human cloning,human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,2481.0,1998,317.0,55,26,0.0074,0.0866,0.0188,0.0045,0.0236,0.0418,0.8173,"neutral,sadness"
9780006513087,Gravity,Tess Gerritsen,"Emma Watson a research physician has been training for the mission of a lifetime: to study living organisms in the microgravity of space. But the true and lethal nature of the experiment has not been revealed to NASA and once aboard the space station things start to go wrong. A culture of single-celled Archaeons, gathered from the deep sea, begin to rapidly multiply and infect the crew - with deadly and agonising results. As her estranged husband and ground crew at NASA work against the clock to launch a rescue Emma stuggles to contain the lethal microbe. But with the contagion threatening Earth's population, there are those who would leave the astronauts stranded in orbit, quarantined aboard the station.",Science fiction,science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,8024.0,2004,342.0,119,20,0.0032,0.0562,0.0484,0.2833,0.005,0.4419,0.162,"disgust,fear"
9780006514640,The Wise Woman,Philippa Gregory,"Alone and vulnerable, Alys joins a nunnery in an attempt to escape poverty but finds herself thrown back into the outside world when Henry VIII's wreckers destroy her sanctuary. With nothing but her looks, her magic and her own instinctive cunning, Alys has to tread a perilous path between the faith of her childhood and her own female power. When she falls in love with Hugo, the feudal lord and another woman's husband, she dips into witchcraft to defeat her rival and to win her lover, only to find that magic makes a poor servant but a dominant master. Since heresy against the new church means the stake, and witchcraft the rope, Alys's danger is mortal. A woman's powers are not longer safe to use...",Great Britain,great britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.31,6583.0,2002,640.0,125,22,0.0018,0.0319,0.0127,0.892,0.0022,0.0236,0.0358,"fear,neutral"
9780006514855,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,"'Girls' Night In' features stories about growing up, growing out of, moving out, moving on, falling apart and getting it all together. So turn off your cell phone and curl up on the couch: this is one 'Girls' Night In' you won't want to miss.",American fiction,american fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.26,140.0,2000,586.0,45,24,0.0242,0.0277,0.0081,0.0063,0.0122,0.0089,0.9126,"neutral,sadness"
9780006545866,The White Album,Joan Didion,"This collection of essays recounts what took place on the long morning after the 1960s, when everyone was coming down from their particular bad trip. Didion observes the dramas that explode as America goes into collective detox: the mother abandoning her five-year-old daughter on the central reservation of Interstate 5; Huey Newton and the Black Panthers preaching from their cells; students, in unconscious parody, simulating the disaffection of the 1960s.",American essays,american essays,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,91.0,1993,224.0,70,31,0.0149,0.0321,0.0556,0.0086,0.018,0.5688,0.302,"disgust,neutral"
9780006550433,The Bonesetter's Daughter,Amy Tan,"Tells the story of three generations of Chinese women, beginning at the turn of the century.",China,china,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98,414.0,2001,352.0,16,23,0.016,0.0126,0.0026,0.0113,0.0512,0.0116,0.8947,"neutral,surprise"
9780006551393,The Lexus and the Olive Tree,Thomas L. Friedman,"Half of this new, post-Cold War world is intent on building a better Lexus, on streamlining their societies and economies for the global marketplace, while the other half is locked in elemental struggles over who owns which olive tree, which strip of land.",Capitalism,capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.59,87.0,2000,352.0,43,24,0.0066,0.0104,0.0429,0.0031,0.0095,0.0306,0.897,"neutral,anger"
9780006551812,'Tis,Frank McCourt,"FROM THE PULIZER PRIZE-WINNING AUTHOR OF THE #1 ""NEW YORK TIMES"" BESTSELLER ""ANGELA'S ASHES"" Frank McCourt's glorious childhood memoir, ""Angela's Ashes, "" has been loved and celebrated by readers everywhere. It won the National Book Critics Circle Award, the ""Los Angeles Times"" Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape. And now we have ""'Tis, "" the story of Frank's American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen and gets a job at the Biltmore Hotel, where he immediately encounters the vivid hierarchies of this ""classless country,"" and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank's incomparable voice that renders these experiences spellbinding. When Frank returns to America in 1953, he works on the docks, always resisting what everyone tells him. He knows that he should be getting an education, and though he left school at fourteen, he talks his way into New York University. There, he falls in love with the quintessential Yankee and tries to live his dream. But it is not until he starts to teach that Frank finds his place in the world.",Ireland,ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.68,44179.0,2000,495.0,210,24,0.1554,0.0057,0.0135,0.0549,0.4252,0.0029,0.3424,"surprise,neutral"
9780006646006,Ocean Star Express,Mark Haddon;Peter Sutton,"Joe and his parents are enjoying a summer holiday by the sea at the Ocean Star Hotel. The sky is bright blue, the sun shines and Joe loves all that the seaside has to offer. But when the fog rolls in and rain falls Joe begins to wish that he was back at home again. Things change, however, when the owner of the hotel invites Joe to share in a magical world, only a few steps away. The loft is black as night but then above Joe's head a thousand tiny stars begin to sparkle and in the distance he hears the chug-chug-chug of a model train. A whole world is soon to open up before Joe's eyes, a world of snow-capped mountains, great deserts, and rocking fishing boats.",Juvenile Fiction,juvenile fiction,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.5,1.0,2002,32.0,129,22,0.5646,0.0626,0.0065,0.0027,0.1041,0.004,0.2555,"joy,neutral"
9780006754893,A Small Pinch of Weather,Joan Aiken,A magical and fantastic collection of early stories by one of the most original children's authors of the 20th century. For 8-11 year olds.,"Children's stories, English","children's stories, english",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27,116.0,2000,239.0,24,24,0.8861,0.0031,0.0022,0.0091,0.0446,0.0028,0.0521,"joy,neutral"
9780007103676,Koko,Peter Straub,Koko is Peter Straub's foray into the psychological horror of the Vietnam War.,Male friendship,male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.56,7586.0,2001,634.0,13,23,0.0015,0.0038,0.0008,0.9798,0.0034,0.0038,0.0068,"fear,neutral"
9780007105045,Tree and Leaf,John Ronald Reuel Tolkien,"""The two works 'On fairy-stories' and 'Leaf by Niggle' were first brought together to form the book 'Tree and leaf' in 1964. In this new edition a third element is added: the poem Mythopoeia, the making of myths...""--Preface.",Literary Collections,literary collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09,2245.0,2001,176.0,38,23,0.0322,0.0174,0.0335,0.0376,0.06,0.0589,0.7605,"neutral,surprise"
9780007111503,Partners in Crime,Agatha Christie,"The Famous Volume Of Tommy & Tuppence Linked Short Stories, Reissued In A New Look To Coincide With The Brand New Series Of Tommy & Tuppence Bbc Movies. Tommy And Tuppence Beresford Were Restless For Adventure, So When They Were Asked To Take Over Blunt S International Detective Agency, They Leapt At The Chance. After Their Triumphant Recovery Of A Pink Pearl, Intriguing Cases Kept On Coming Their Way: A Stabbing On Sunningdale Golf Course; Cryptic Messages In The Personal Columns Of Newspapers; And Even A Box Of Poisoned Chocolates.","Beresford, Tommy (Fictitious character)","beresford, tommy (fictitious character)",http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.77,9506.0,2001,347.0,90,23,0.0034,0.7657,0.0098,0.1453,0.0432,0.007,0.0256,"sadness,fear"
9780007113804,Murder in Mesopotamia,Agatha Christie,"An archaeologist's wife is murdered on the shores of the River Tigris in Iraq... It was clear to Amy Leatheran that something sinister was going on at the Hassanieh dig in Iraq; something associated with the presence of 'Lovely Louise', wife of celebrated archaeologist Dr Leidner. In a few days' time Hercule Poirot was due to drop in at the excavation site. But with Louise suffering from terrifying hallucinations, and tension within the group becoming almost unbearable, Poirot might just be too late...",Detective and mystery stories,detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89,25692.0,2001,264.0,83,23,0.001,0.2019,0.0362,0.6887,0.0172,0.043,0.0119,"fear,sadness"
9780007116263,"The Lord of the Rings, the Return of the King",Jude Fisher,"A visual guide to the third in the Lord of the Rings movie trilogy. A large-format, full-colour guide to the characters, places, landscapes, artefacts, battles, and costumes as seen in the film, it features images, informative text and specially commissioned extras.",Imaginary wars and battles,imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.59,22.0,2003,72.0,41,21,0.0985,0.0042,0.0046,0.0024,0.0204,0.0167,0.8531,"neutral,joy"
9780007117536,All Families are Psychotic,Douglas Coupland,"On the eve of the next Space Shuttle mission, a divided family comes together... Warm, witty and wise, All Families Are Psychotic is Coupland at the very top of his form: 'Irresistibly hilarious, unique and wonderful' Independent on Sunday In a cheap motel an hour from Cape Canaveral, Janet Drummond takes her medication, and does a rapid tally of the whereabouts of her children. Wade has spent the night in jail; suicidal Bryan is due to arrive at any moment with his vowel-free girlfriend, Shw; and then there is Sarah, 'a bolt of lightning frozen in midflash' -- here in Orlando to be the star of Friday's shuttle mission. With Janet's ex-husband and his trophy wife also in town, Janet spends a moment contemplating her family, and where it all went wrong. Or did it?",Dysfunctional families,dysfunctional families,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.69,350.0,2002,279.0,135,22,0.4236,0.126,0.0141,0.0225,0.1423,0.0103,0.2613,"joy,neutral"
9780007119332,Death in the Clouds,Agatha Christie,"A woman is killed by a poisoned dart in the enclosed confines of a commercial passenger plane... From seat No.9, Hercule Poirot was ideally placed to observe his fellow air passengers. Over to his right sat a pretty young woman, clearly infatuated with the man opposite; ahead, in seat No.13, sat a Countess with a poorly-concealed cocaine habit; across the gangway in seat No.8, a detective writer was being troubled by an aggressive wasp. What Poirot did not yet realize was that behind him, in seat No.2, sat the slumped, lifeless body of a woman.",Detective and mystery stories,detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8,21123.0,2001,333.0,95,23,0.0009,0.0902,0.0101,0.034,0.0105,0.8342,0.0201,"disgust,sadness"
